phecode,description,phecode_exclude_range,sex,rollup,leaf,groupnum,group,color,phecode_exclude_description,n_cases,n_controls
241.1,Nontoxic uninodular goiter,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,472,391423
241.2,Nontoxic multinodular goiter,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,680,391423
242,Thyrotoxicosis with or without goiter,240-246.99,Both,1,0,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,1852,391423
242.1,Graves' disease,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,457,391423
242.2,Toxic multinodular goiter,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,91,391423
242.3,Exophthalmos,240-246.99,Both,0,0,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,138,391423
244,Hypothyroidism,240-246.99,Both,1,0,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,14873,391423
244.1,Secondary hypothyroidism,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,1117,391423
244.2,Acquired hypothyroidism,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,101,391423
244.3,Iodine hypothyroidism,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,1,391423
244.4,Hypothyroidism NOS,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,14173,391423
244.5,Congenital hypothyroidism,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,24,391423
245,Thyroiditis,240-246.99,Both,1,0,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,294,391423
245.1,"Thyroiditis, acute and subacute",240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,12,391423
245.2,Chronic thyroiditis,240-246.99,Both,1,0,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,224,391423
245.21,Chronic lymphocytic thyroiditis,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,211,391423
246,Other disorders of thyroid,240-246.99,Both,1,0,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,403,391423
246.2,Thyroid cyst,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,5,391423
246.7,Abnormal results of function study of thyroid,240-246.99,Both,0,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,38,391423
249,Secondary diabetes mellitus,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,3,388697
250,Diabetes mellitus,249-250.99,Both,1,0,3,endocrine/metabolic,brown,DIABETES,20260,388697
250.1,Type 1 diabetes,249-250.99,Both,1,0,3,endocrine/metabolic,brown,DIABETES,2667,388697
250.11,Type 1 diabetes with ketoacidosis,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,239,388697
250.12,Type 1 diabetes with renal manifestations,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,77,388697
250.2,Type 2 diabetes,249-250.99,Both,1,0,3,endocrine/metabolic,brown,DIABETES,19004,388697
250.21,Type 2 diabetes with ketoacidosis,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,105,388697
250.22,Type 2 diabetes with renal manifestations,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,202,388697
250.23,Type 2 diabetes with ophthalmic manifestations,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,1298,388697
250.24,Type 2 diabetes with neurological manifestations,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,575,388697
250.4,Abnormal glucose,249-250.99,Both,0,0,3,endocrine/metabolic,brown,DIABETES,686,388697
250.41,Impaired fasting glucose,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,266,388697
250.42,Other abnormal glucose,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,421,388697
250.5,Glycosuria or Acetonuria,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,131,388697
250.6,Polyneuropathy in diabetes,249-250.99,Both,1,1,3,endocrine/metabolic,brown,DIABETES,354,388697
250.7,Diabetic retinopathy,"250.70-250.79,360-365.99",Both,1,1,3,endocrine/metabolic,brown, diabetic retinopathy and degenerative disorders of the eye,1339,396857
251,Other disorders of pancreatic internal secretion,251-259.99,Both,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,7,405378
251.1,Hypoglycemia,249-259.99,Both,0,1,3,endocrine/metabolic,brown,Endocrine disorders and DM,941,386259
251.8,Abnormality of secretion of glucagon or gastrin,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,2,405378
252,Disorders of parathyroid gland,251-259.99,Both,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,878,405378
252.1,Hyperparathyroidism,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,782,405378
252.2,Hypoparathyroidism,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,142,405378
253,Disorders of the pituitary gland and its hypothalamic control,251-259.99,Both,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,694,405378
253.1,Pituitary hyperfunction,251-259.99,Both,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,189,405378
253.11,Acromegaly and gigantism,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,95,405378
253.2,Pituitary hypofunction,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,263,405378
253.3,Diabetes insipidus,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,93,405378
253.4,Anterior pituitary disorders,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,2,405378
253.5,Pituitary dwarfism,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,2,405378
253.7,Other disorders of neurohypophysis,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,158,405378
254,Diseases of thymus gland,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,13,405378
255,Disorders of adrenal glands,251-259.99,Both,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,642,405378
255.1,Adrenal hyperfunction,251-259.99,Both,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,182,405378
255.11,Cushing's syndrome,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,103,405378
255.12,Hyperaldosteronism,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,76,405378
255.13,Medulloadrenal hyperfunction,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,4,405378
255.2,Adrenal hypofunction,251-259.99,Both,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,364,405378
255.21,Glucocorticoid deficiency,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,361,405378
255.3,Adrenogenital disorders,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,16,405378
256,Ovarian dysfunction,251-259.99,Female,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,244,218907
256.1,Hyperestrogenism,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,0,405378
256.4,Polycystic ovaries,251-259.99,Female,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,209,218907
257,Testicular dysfunction,251-259.99,Male,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,163,186173
257.1,Testicular hypofunction,251-259.99,Male,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,154,186173
258,Iatrogenic endocrine disorders,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,102,405378
258.1,Postablative ovarian failure,251-259.99,Female,0,1,3,endocrine/metabolic,brown,Other endocrine disorders,30,218907
259,Other endocrine disorders,251-259.99,Both,1,0,3,endocrine/metabolic,brown,Other endocrine disorders,152,405378
259.1,Nonspecific abnormal results of other endocrine function study,251-259.99,Both,1,1,3,endocrine/metabolic,brown,Other endocrine disorders,24,405378
259.2,Carcinoid syndrome,251-259.99,Both,0,1,3,endocrine/metabolic,brown,Other endocrine disorders,42,405378
259.3,Delay in sexual development and puberty NEC,251-259.99,Both,0,1,3,endocrine/metabolic,brown,Other endocrine disorders,2,405378
260,Protein-calorie malnutrition,260-264.99,Both,1,0,3,endocrine/metabolic,brown,Nutritional deficiencies,202,406476
260.1,Cachexia,260-264.99,Both,0,1,3,endocrine/metabolic,brown,Nutritional deficiencies,51,406476
260.2,severe protein-calorie malnutrition,260-264.99,Both,1,0,3,endocrine/metabolic,brown,Nutritional deficiencies,4,406476
260.22,Nutritional marasmus,260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,2,406476
260.6,Anorexia,260-264.99,Both,0,1,3,endocrine/metabolic,brown,Nutritional deficiencies,835,406476
260.7,Polyphagia,260-264.99,Both,0,1,3,endocrine/metabolic,brown,Nutritional deficiencies,3,406476
261,Vitamin deficiency,260-264.99,Both,1,0,3,endocrine/metabolic,brown,Nutritional deficiencies,1210,406476
261.1,Vitamin A deficiency,260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,5,406476
261.2,Vitamin B-complex deficiencies,260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,755,406476
261.3,Vitamin C deficiencies,260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,9,406476
261.4,Vitamin D deficiency,260-264.99,Both,1,0,3,endocrine/metabolic,brown,Nutritional deficiencies,449,406476
261.41,Rickets or osteomalacia,260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,77,406476
262,Mineral deficiency NEC,260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,242,406476
263,Other nutritional deficiency,260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,21,406476
264,Lack of normal physiological development,260-264.99,Both,1,0,3,endocrine/metabolic,brown,Nutritional deficiencies,12,406476
264.1,Short stature,260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,3,406476
264.9,"Lack of normal physiological development, unspecified",260-264.99,Both,1,1,3,endocrine/metabolic,brown,Nutritional deficiencies,9,406476
269,Proteinuria,269-270.99,Both,1,1,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,339,408224
270,Disorders of protein plasma/amino-acid transport and metabolism,269-270.99,Both,1,0,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,304,408224
270.1,Disturbances of amino-acid transport,269-270.99,Both,1,0,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,34,408224
270.11,Disturbances of sulphur-bearing amino-acid metabolism,269-270.99,Both,1,1,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,7,408224
270.12,Phenylketonuria [PKU],269-270.99,Both,1,1,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,1,408224
270.2,Disorders of amino-acid metabolism,269-270.99,Both,1,0,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,9,408224
270.21,Disorders of urea cycle metabolism,269-270.99,Both,1,1,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,4,408224
270.3,Disorders of plasma protein metabolism,269-270.99,Both,1,0,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,261,408224
270.31,Polyclonal hypergammaglobulinemia,269-270.99,Both,1,1,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,19,408224
270.32,Paraproteinemia,269-270.99,Both,1,1,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,191,408224
270.33,Amyloidosis,269-270.99,Both,0,1,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,113,408224
270.35,Macroglobulinemia,269-270.99,Both,1,1,3,endocrine/metabolic,brown, Disorders of amino-acid transport/metabolism,69,408224
271,Disorders of carbohydrate transport and metabolism,271-271.99,Both,1,0,3,endocrine/metabolic,brown,Disorders of carbohydrate transport &amp; metabolism,163,408796
271.3,Intestinal disaccharidase deficiencies and disaccharide malabsorption,271-271.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of carbohydrate transport &amp; metabolism,141,408796
271.9,Other disorders of carbohydrate transport and metabolism,271-271.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of carbohydrate transport &amp; metabolism,22,408796
272,Disorders of lipoid metabolism,272-272.99,Both,1,0,3,endocrine/metabolic,brown,Disorders of lipoid metabolism,35940,373019
272.1,Hyperlipidemia,272-272.99,Both,1,0,3,endocrine/metabolic,brown,Disorders of lipoid metabolism,35857,373019
272.11,Hypercholesterolemia,272-272.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of lipoid metabolism,33253,373019
272.12,Hyperglyceridemia,272-272.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of lipoid metabolism,58,373019
272.13,Mixed hyperlipidemia,272-272.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of lipoid metabolism,164,373019
272.14,Hyperchylomicronemia,272-272.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of lipoid metabolism,10,373019
272.9,Unspecified disorder of lipoid metabolism,272-272.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of lipoid metabolism,211,373019
274,Gout and other crystal arthropathies,274-274.99,Both,1,0,3,endocrine/metabolic,brown,Gout,3763,405196
274.1,Gout,274-274.99,Both,1,0,3,endocrine/metabolic,brown,Gout,3195,405196
274.11,Gouty arthropathy,274-274.99,Both,1,1,3,endocrine/metabolic,brown,Gout,112,405196
274.2,Crystal arthropathies,274-274.99,Both,1,0,3,endocrine/metabolic,brown,Gout,616,405196
274.21,Chondrocalcinosis,274-274.99,Both,1,1,3,endocrine/metabolic,brown,Gout,560,405196
275,Disorders of mineral metabolism,275-275.99,Both,1,0,3,endocrine/metabolic,brown,Disorders of mineral metabolism,2132,406827
275.1,Disorders of iron metabolism,275-275.99,Both,1,0,4,hematopoietic,darkorange1,Disorders of mineral metabolism,670,406827
275.2,Disorders of copper metabolism,275-275.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of mineral metabolism,5,406827
275.3,Disorders of magnesium metabolism,275-275.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of mineral metabolism,375,406827
275.5,Disorders of calcium/phosphorus metabolism,275-275.99,Both,1,0,3,endocrine/metabolic,brown,Disorders of mineral metabolism,1208,406827
275.51,Hypocalcemia,275-275.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of mineral metabolism,1,406827
275.53,Disorders of phosphorus metabolism,275-275.99,Both,1,1,3,endocrine/metabolic,brown,Disorders of mineral metabolism,172,406827
276,"Disorders of fluid, electrolyte, and acid-base balance",276-276.99,Both,1,0,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",7373,401488
276.1,Electrolyte imbalance,276-276.99,Both,1,0,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",4132,401488
276.11,Hyperosmolality and/or hypernatremia,276-276.99,Both,1,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",241,401488
276.12,Hyposmolality and/or hyponatremia,276-276.99,Both,1,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",1829,401488
276.13,Hyperpotassemia,276-276.99,Both,1,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",980,401488
276.14,Hypopotassemia,276-276.99,Both,1,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",1431,401488
276.4,Acid-base balance disorder,276-276.99,Both,0,0,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",1168,401488
276.41,Acidosis,276-276.99,Both,1,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",1062,401488
276.42,Alkalosis,276-276.99,Both,1,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",114,401488
276.5,Hypovolemia,276-276.99,Both,1,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",2840,401488
276.6,Fluid overload,276-276.99,Both,1,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",457,401488
276.8,Polydipsia,276-276.99,Both,0,1,3,endocrine/metabolic,brown,"Disorders of fluid, electrolyte, and acid-base balance",128,401488
277,Other disorders of metabolism,277-277.99,Both,1,0,3,endocrine/metabolic,brown,Other/unspecified disorders of metabolism,906,407531
277.1,Disorders of porphyrin metabolism,277-277.99,Both,1,1,3,endocrine/metabolic,brown,Other/unspecified disorders of metabolism,32,407531
277.2,Other disorders of purine and pyrimidine metabolism,277-277.99,Both,1,1,3,endocrine/metabolic,brown,Other/unspecified disorders of metabolism,2,407531
277.4,Disorders of bilirubin excretion,277-277.99,Both,0,1,3,endocrine/metabolic,brown,Other/unspecified disorders of metabolism,365,407531
277.5,Other disorders of lipoid metabolism,277-277.99,Both,0,0,3,endocrine/metabolic,brown,Other/unspecified disorders of metabolism,233,407531
277.51,Lipoprotein disorders,277-277.99,Both,1,1,3,endocrine/metabolic,brown,Other/unspecified disorders of metabolism,52,407531
277.6,Other deficiencies of circulating enzymes,277-277.99,Both,0,1,3,endocrine/metabolic,brown,Other/unspecified disorders of metabolism,3,407531
278,"Overweight, obesity and other hyperalimentation",278-278.99,Both,1,0,3,endocrine/metabolic,brown, Obesity,10989,397970
